Prediction Confidence (%),True Label,Predicted Label,Result
39.119156,1,0,WRONG
77.155876,1,1,CORRECT
69.7142,1,1,CORRECT
17.535807,0,0,CORRECT
49.302216,1,0,WRONG
69.60713,1,1,CORRECT
72.579094,1,1,CORRECT
21.916666,0,0,CORRECT
60.847126,0,1,WRONG
50.76171,0,1,WRONG
66.39668,1,1,CORRECT
66.78548,0,1,WRONG
64.81258,0,1,WRONG
50.35251,1,1,CORRECT
69.425835,1,1,CORRECT
22.76223,0,0,CORRECT
43.72658,0,0,CORRECT
38.594666,1,0,WRONG
64.60757,0,1,WRONG
31.353218,1,0,WRONG
38.93164,0,0,CORRECT
57.724808,1,1,CORRECT
29.32869,1,0,WRONG
63.84149,0,1,WRONG
66.79911,0,1,WRONG
51.293106,0,1,WRONG
31.28572,0,0,CORRECT
34.815117,1,0,WRONG
49.439384,1,0,WRONG
32.66683,0,0,CORRECT
28.201422,0,0,CORRECT
52.498127,1,1,CORRECT
64.680954,1,1,CORRECT
39.81583,1,0,WRONG
22.642988,0,0,CORRECT
37.975574,0,0,CORRECT
80.0235,0,1,WRONG
46.998688,1,0,WRONG
32.428513,1,0,WRONG
20.480701,0,0,CORRECT
63.585823,1,1,CORRECT
11.585763,0,0,CORRECT
77.10191,1,1,CORRECT
79.82971,1,1,CORRECT
61.3021,1,1,CORRECT
49.565853,0,0,CORRECT
58.85744,0,1,WRONG
41.545334,0,0,CORRECT
29.723766,0,0,CORRECT
78.489426,1,1,CORRECT
38.948437,1,0,WRONG
89.890686,1,1,CORRECT
6.0279284,0,0,CORRECT
56.3335,0,1,WRONG
29.745861,0,0,CORRECT
37.509876,0,0,CORRECT
15.033868,0,0,CORRECT
87.135765,1,1,CORRECT
45.137383,1,0,WRONG
77.311935,1,1,CORRECT
76.86333,0,1,WRONG
42.529488,0,0,CORRECT
49.160187,1,0,WRONG
85.016335,1,1,CORRECT
27.964401,0,0,CORRECT
69.12624,1,1,CORRECT
35.01321,1,0,WRONG
46.137573,1,0,WRONG
67.96623,0,1,WRONG
62.322807,0,1,WRONG
73.26544,0,1,WRONG
42.48299,1,0,WRONG
47.08739,0,0,CORRECT
59.75979,1,1,CORRECT
44.158997,0,0,CORRECT
39.85864,0,0,CORRECT
66.00569,0,1,WRONG
22.10131,0,0,CORRECT
52.194447,1,1,CORRECT
56.78675,0,1,WRONG
52.328587,1,1,CORRECT
54.27968,1,1,CORRECT
55.709213,1,1,CORRECT
55.604862,0,1,WRONG
47.09423,1,0,WRONG
26.385826,1,0,WRONG
50.55684,0,1,WRONG
33.640434,0,0,CORRECT
53.30897,0,1,WRONG
80.97918,1,1,CORRECT
49.01083,1,0,WRONG
38.02882,0,0,CORRECT
60.272568,1,1,CORRECT
42.556435,1,0,WRONG
39.485596,0,0,CORRECT
37.026165,0,0,CORRECT
59.655655,1,1,CORRECT
65.19195,0,1,WRONG
50.833637,1,1,CORRECT
39.19507,1,0,WRONG
53.02375,1,1,CORRECT
51.788445,1,1,CORRECT
73.08355,1,1,CORRECT
40.991096,1,0,WRONG
52.187275,1,1,CORRECT
48.26966,0,0,CORRECT
71.756485,1,1,CORRECT
49.112328,1,0,WRONG
60.11134,1,1,CORRECT
48.243694,0,0,CORRECT
72.808495,0,1,WRONG
59.926414,0,1,WRONG
72.43507,1,1,CORRECT
51.15561,0,1,WRONG
57.276142,1,1,CORRECT
64.05104,0,1,WRONG
26.610453,0,0,CORRECT
60.030792,0,1,WRONG
29.955986,1,0,WRONG
58.787643,0,1,WRONG
37.674934,0,0,CORRECT
59.322346,0,1,WRONG
43.59661,1,0,WRONG
31.154009,0,0,CORRECT
42.385296,0,0,CORRECT
51.821854,0,1,WRONG
59.696526,1,1,CORRECT
46.491898,0,0,CORRECT
46.63768,1,0,WRONG
26.415712,0,0,CORRECT
34.45114,0,0,CORRECT
52.155506,0,1,WRONG
55.704456,1,1,CORRECT
41.09589,1,0,WRONG
47.322914,1,0,WRONG
46.670776,1,0,WRONG
94.91519,1,1,CORRECT
67.28175,1,1,CORRECT
44.00878,1,0,WRONG
61.64406,1,1,CORRECT
63.991516,1,1,CORRECT
41.461678,1,0,WRONG
53.219543,1,1,CORRECT
24.951462,0,0,CORRECT
21.33407,0,0,CORRECT
44.234863,1,0,WRONG
21.220823,0,0,CORRECT
69.130486,1,1,CORRECT
59.465664,1,1,CORRECT
49.503933,0,0,CORRECT
84.32381,1,1,CORRECT
11.48425,0,0,CORRECT
42.01563,1,0,WRONG
42.81313,0,0,CORRECT
40.576153,0,0,CORRECT
63.643826,1,1,CORRECT
41.71248,0,0,CORRECT
40.485218,1,0,WRONG
28.11407,0,0,CORRECT
16.020554,0,0,CORRECT
68.3708,1,1,CORRECT
57.072144,1,1,CORRECT
70.59576,0,1,WRONG
71.56872,1,1,CORRECT
44.547943,0,0,CORRECT
58.905758,1,1,CORRECT
13.777363,0,0,CORRECT
80.44381,1,1,CORRECT
63.136356,0,1,WRONG
70.22441,1,1,CORRECT
46.884987,0,0,CORRECT
24.690598,0,0,CORRECT
40.73618,0,0,CORRECT
48.24399,0,0,CORRECT
84.83498,1,1,CORRECT
23.45066,0,0,CORRECT
58.730846,0,1,WRONG
42.28096,0,0,CORRECT
29.40946,0,0,CORRECT
68.322296,1,1,CORRECT
39.656635,1,0,WRONG
65.33329,1,1,CORRECT
6.9652677,0,0,CORRECT
17.068499,0,0,CORRECT
37.04949,0,0,CORRECT
35.303776,0,0,CORRECT
67.40318,1,1,CORRECT
67.21219,1,1,CORRECT
42.18287,1,0,WRONG
32.131298,0,0,CORRECT
22.276897,0,0,CORRECT
22.868643,0,0,CORRECT
41.9425,0,0,CORRECT
58.991314,1,1,CORRECT
60.55745,1,1,CORRECT
71.57101,0,1,WRONG
37.37343,1,0,WRONG
53.56032,1,1,CORRECT
94.70661,1,1,CORRECT
91.50016,1,1,CORRECT
32.665016,0,0,CORRECT
35.517044,0,0,CORRECT
72.533585,1,1,CORRECT
20.44249,0,0,CORRECT
34.19166,1,0,WRONG
34.454727,1,0,WRONG
79.51626,1,1,CORRECT
7.7773056,0,0,CORRECT
35.32774,0,0,CORRECT
70.04645,0,1,WRONG
75.915184,1,1,CORRECT
28.63515,0,0,CORRECT
44.70487,1,0,WRONG
68.927795,1,1,CORRECT
19.793827,0,0,CORRECT
84.00995,0,1,WRONG
47.670902,1,0,WRONG
34.477398,0,0,CORRECT
17.518951,0,0,CORRECT
73.43995,1,1,CORRECT
63.255566,0,1,WRONG
72.30092,1,1,CORRECT
88.59924,1,1,CORRECT
86.00666,1,1,CORRECT
33.38463,1,0,WRONG
67.431175,1,1,CORRECT
72.10831,1,1,CORRECT
27.590233,0,0,CORRECT
57.372494,0,1,WRONG
44.215332,0,0,CORRECT
91.05143,1,1,CORRECT
7.804689,0,0,CORRECT
58.420624,0,1,WRONG
74.53408,1,1,CORRECT
81.6571,1,1,CORRECT
15.306775,0,0,CORRECT
73.21373,1,1,CORRECT
78.46675,1,1,CORRECT
23.483969,0,0,CORRECT
65.93084,0,1,WRONG
36.29752,0,0,CORRECT
24.63636,1,0,WRONG
12.119306,0,0,CORRECT
15.986254,0,0,CORRECT
61.67711,0,1,WRONG
72.19531,0,1,WRONG
5.3449383,0,0,CORRECT
13.31556,0,0,CORRECT
40.218414,1,0,WRONG
72.04672,1,1,CORRECT
60.24071,1,1,CORRECT
81.55092,1,1,CORRECT
8.894544,0,0,CORRECT
28.84139,0,0,CORRECT
91.619286,1,1,CORRECT
78.35859,1,1,CORRECT
55.543095,1,1,CORRECT
29.821133,0,0,CORRECT
65.526794,0,1,WRONG
38.406216,1,0,WRONG
35.597725,0,0,CORRECT
53.53455,0,1,WRONG
54.45925,1,1,CORRECT
76.77107,0,1,WRONG
48.17283,0,0,CORRECT
84.32003,1,1,CORRECT
56.615128,1,1,CORRECT
69.721405,1,1,CORRECT
